OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
1919,S0605,Giffen Solar Park LLC,0,Stellar Power Renewable LLC,Fresno,20,W5512,SUN,5/22/2017 0:00,0,-120.3452996,36.5483347
1920,S0616,Aspiration Solar,0,S-Power (Sustainable Power Group),Fresno,9,Unit 1,SUN,9/13/2017 0:00,0,-120.3454512,36.54836655
1921,S0653,Great Valley Solar Portfolio (Tranquillity 8),0,Great Valley Solar Portfolio Holdings LLC,Fresno,200,"Amarillo, Azul, Rojo, Verde",SUN,12/26/2017 0:00,0,-120.3832696,36.57834813
1923,S0139,Stroud Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,Unit 1,SUN,10/26/2011 0:00,0,-120.1230221,36.52391365
1924,S0425,Fresno Solar South,0,Fresno Cogeneration,Fresno,1.5,Unit 1,SUN,10/1/2015 0:00,0,-120.1017409,36.61606171
1925,S0426,Fresno Solar West,0,Fresno Cogeneration,Fresno,1.5,Unit 1,SUN,10/1/2015 0:00,0,-120.1044729,36.61700367
1926,S0654,Summer Wheat,0,"GASNA 36P, LLC",San Joaquin,18.5,Unit 1,SUN,12/10/2018 0:00,0,-120.1494635,36.5255443
1928,S9012,Golden State Vintners,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,0,-119.9221195,36.67210281
1929,S9085,Fowler Packing Company Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,0,-119.7524413,36.61349306
1930,S9086,Fowler Packing Company Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,0,-119.7539499,36.61345773
1931,S9034,Maxco Supply Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,0,-119.5233537,36.61173489
1932,S9181,Kingsburg Solar (1 & 2),0,Altus Power,Fresno,3.7,"Unit 1, Unit 2",SUN,12/1/2013 0:00,0,-119.5719105,36.54617084
1933,S9190,Pristine Sun Fund 10 Fresno PGE LLC_(2102_Christensen),0,Not Available,Fresno,1,Unit 1,SUN,12/31/2013 0:00,0,-119.5734462,36.65444027
1935,S9320,ImModo California 1 LLC_(Alta 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0,-119.3137674,36.54122095
1936,S9321,ImModo California 1 LLC_(Alta 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0,-119.3137674,36.54122095
1937,S9322,ImModo California 1 LLC_(Alta 4),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0,-119.3137674,36.54122095
1938,S9323,ImModo California 1 LLC_(Alta 5),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0,-119.3137674,36.54122095
1939,S9324,ImModo California 1 LLC_(Alta 6),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0,-119.3137674,36.54122095
1940,S0302,Terzian,0,Pristine Sun LLC,Fresno,1.25,1,SUN,5/1/2014 0:00,0,-119.415533,36.66811523
1941,S9000,Ruiz Foods,0,Not Available,Tulare,1,1,SUN,1/1/2012 0:00,0,-119.3982813,36.53985992
1942,S9060,City of Dinuba,0,S-Power (Sustainable Power Group),Tulare,1,1,SUN,1/1/2012 0:00,0,-119.4261038,36.53839245
1944,H0261,Kaweah 3,0,Southern California Edison (SCE),Tulare,4.8,1,WAT,5/1/1913 0:00,0,-118.8354276,36.48605103
1945,S0621,Monterey Regional Water Pollution Control Agency,0,Tesla Inc.,Monterey,1.12,939009-CA,SUN,12/21/2010 0:00,0,-121.7688723,36.70818389
1946,S9042,Pollution Control Monterey Reg'l Water,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,0,-121.801017,36.693303
1952,S0304,San Benito Smart Park,0,Bay4 Energy Services LLC,San Benito,2,1,SUN,5/31/2014 0:00,0,-121.4041767,36.83290358
1953,S0387,Enerparc CA1 LLC,0,"RC Energy Hollister, LLC",San Benito,1.5,Unit 1,SUN,6/16/2014 0:00,0,-121.4038485,36.83130072
1954,S0428,Hollister Solar,0,Hollister Solar LLC,San Benito,1.5,Unit 1,SUN,4/1/2015 0:00,0,-121.4290222,36.86331353
